index	trace	layers	seed	attack	frac	name
175	gather	3	3	cmix	0.1	atk_gather_L3_s3_cmix10
176	blockade1	6	3	drop	0.0	atk_blockade1_L6_s3_ctl
177	blockade1	6	3	drop	0.1	atk_blockade1_L6_s3_drop10
178	blockade1	6	3	drop	0.2	atk_blockade1_L6_s3_drop20
179	blockade1	6	3	drop	0.3	atk_blockade1_L6_s3_drop30
180	blockade1	6	3	drop	0.4	atk_blockade1_L6_s3_drop40
181	gather	6	3	drop	0.0	atk_gather_L6_s3_ctl
182	gather	6	3	drop	0.1	atk_gather_L6_s3_drop10
183	gather	6	3	drop	0.2	atk_gather_L6_s3_drop20
184	gather	6	3	drop	0.3	atk_gather_L6_s3_drop30
185	gather	6	3	drop	0.4	atk_gather_L6_s3_drop40
186	blockade1	5	3	drop	0.0	atk_blockade1_L5_s3_ctl
187	blockade1	5	3	drop	0.1	atk_blockade1_L5_s3_drop10
188	blockade1	5	3	drop	0.2	atk_blockade1_L5_s3_drop20
189	blockade1	5	3	drop	0.3	atk_blockade1_L5_s3_drop30
190	blockade1	5	3	drop	0.4	atk_blockade1_L5_s3_drop40
191	gather	5	3	drop	0.0	atk_gather_L5_s3_ctl
192	gather	5	3	drop	0.1	atk_gather_L5_s3_drop10
193	gather	5	3	drop	0.2	atk_gather_L5_s3_drop20
194	gather	5	3	drop	0.3	atk_gather_L5_s3_drop30
195	gather	5	3	drop	0.4	atk_gather_L5_s3_drop40
196	blockade1	4	3	drop	0.0	atk_blockade1_L4_s3_ctl
197	blockade1	4	3	drop	0.1	atk_blockade1_L4_s3_drop10
198	blockade1	4	3	drop	0.2	atk_blockade1_L4_s3_drop20
199	blockade1	4	3	drop	0.3	atk_blockade1_L4_s3_drop30
200	blockade1	4	3	drop	0.4	atk_blockade1_L4_s3_drop40
201	gather	4	3	drop	0.0	atk_gather_L4_s3_ctl
202	gather	4	3	drop	0.1	atk_gather_L4_s3_drop10
203	gather	4	3	drop	0.2	atk_gather_L4_s3_drop20
204	gather	4	3	drop	0.3	atk_gather_L4_s3_drop30
205	gather	4	3	drop	0.4	atk_gather_L4_s3_drop40
206	blockade1	3	3	drop	0.0	atk_blockade1_L3_s3_ctl
207	blockade1	3	3	drop	0.1	atk_blockade1_L3_s3_drop10
208	blockade1	3	3	drop	0.2	atk_blockade1_L3_s3_drop20
209	blockade1	3	3	drop	0.3	atk_blockade1_L3_s3_drop30
210	blockade1	3	3	drop	0.4	atk_blockade1_L3_s3_drop40
211	gather	3	3	drop	0.0	atk_gather_L3_s3_ctl
212	gather	3	3	drop	0.1	atk_gather_L3_s3_drop10
213	gather	3	3	drop	0.2	atk_gather_L3_s3_drop20
214	gather	3	3	drop	0.3	atk_gather_L3_s3_drop30
215	gather	3	3	drop	0.4	atk_gather_L3_s3_drop40
